artist,title,cosine_sim,in_country
Imagine Dragons  and Khalid,Thunder/Young Dumb and Broke Medley,0.017821438887473815,0
Kygo and Imagine Dragons,Born To Be Yours,0.017850231249972048,0
Wiz Khalifa,We Dem Boyz,0.017859708526110914,0
YFN Lucci,Everyday We Lit,0.01786763607623956,0
Ariana Grande,Focus,0.01788321071282346,0
Fergie,MILF $,0.017905572434426205,0
Meek Mill,Fuck That Check Up,0.01796413050811904,0
BTS,MIC Drop,0.01796787516089164,0
OT Genasis,Cut It,0.01798986392020335,0
BTS,IDOL,0.017994244114266464,0
DJ ESCO,Too Much Sauce,0.01803521658805086,0
Chris Brown,Zero,0.018123841366089733,0
Ariana Grande,Sweetener,0.018143583571793475,0
Lauren Daigle,You Say,0.018160996831711525,0
Bebe Rexha,I Got You,0.01818329763815695,0
DJ Khaled,Top Off,0.018254267285851663,0
Kendrick Lamar,Humble,0.018256439277311666,0
XXXTENTACION,Going Down!,0.018300372233723956,0
Lil Pump,Esskeetit,0.018309447639466694,0
Playboi Carti,Wokeuplikethis*,0.018336220164538224,0
Martin Garrix and Bebe Rexha,In The Name Of Love,0.018340807801855756,0
Bad Wolves,Zombie,0.018380840119543197,0
Zayn,Its You,0.018394940615457635,0
Future,Fly Shit Only,0.01843437239975748,0
Coldplay,Midnight,0.018437428965971926,0
Lil Uzi Vert,UnFazed,0.018496685074070793,0
Young Greatness,Moolah,0.018501304757218583,0
Kaleo,Way Down We Go,0.01856789801502148,0
Kent Jones,Dont Mind,0.018625923257025345,0
Annie Lennox,I Put A Spell On You,0.01863707404055345,0
Janet Jackson,Made For Now,0.018733991505295835,0
Calvin Harris,Blame,0.018758924435887482,0
Flume,Say It,0.018763991604203688,0
Bobby Shmurda,Bobby Bitch,0.01878748680848219,0
Ellie Goulding,Love Me Like You Do,0.0188008558958649,0
Young Thug,Stoner,0.018823445474394487,0
Ariana Grande,Everytime,0.018832285502268106,0
Solange,Cranes In The Sky,0.01887347376087593,0
Wiz Khalifa,Fr Fr,0.018875364738750244,0
Imagine Dragons,I Bet My Life,0.01889219196048105,0
Drake,Ice Melts,0.018907082629597654,0
Meghan Trainor,No,0.01901580009614277,0
The Weeknd,Nothing Without You,0.01902224204436002,0
Lady Gaga,Do What U Want,0.019036202618665184,0
Yella Beezy,Thats On Me,0.019094701321967975,0
Ariana Grande,Love Me Harder,0.019106537656005423,0
OneRepublic,I Lived,0.019117501860293745,0
Hey Violet,Guys My Age,0.019121895014651676,0
Fifth Harmony,Worth It,0.019124585423205043,0
Meek Mill,The Difference,0.01926218279891701,0
Clean Bandit,Solo,0.019273790036428973,0
Ne Yo,She Knows,0.019275134253028674,0
Cashmere Cat,Adore,0.01928145128467481,0
Ed Sheeran,Make It Rain,0.019287468011051863,0
Meghan Trainor,All About That Bass,0.019326790784572348,0
Charlie Puth,Done For Me,0.01934051764782014,0
Big Sean and Metro Boomin,Go Legend,0.019354433875957037,0
Cardi B,I Do,0.019378529527440156,0
Ellie Goulding,On My Mind,0.01939911741858249,0
Migos,Narcos,0.019447924199881266,0
Kiiara,Gold,0.01947453618962198,0
DJ Khaled,To The Max,0.019525667272595942,0
Fat joe and remy ma,All The Way Up,0.019537998128001405,0
Britney Spears,Work Bitch!,0.01956339334910539,0
Shakira,Try Everything,0.01963425106879759,0
Taylor Swift,Look What You Made Me Do,0.019634952484319727,0
XXXTENTACION,Sad!,0.019645991700525473,0
Major Lazer,Know No Better,0.01967150832728535,0
Nicki Minaj,Thought I Knew You,0.01967786376256543,0
Kehlani,CRZY,0.019693201890935937,0
Aloe Blacc,The Man,0.019724811213813694,0
French Montana,A Lie,0.019732075140715722,0
KIDS SEE GHOSTS,Feel The Love,0.019734469280214165,0
Ariana Grande,Dangerous Woman,0.019775220735489825,0
Drake,Fire and Desire,0.019850532874821542,0
Tory Lanez,Say It,0.019891303964647153,0
Jennifer Lopez,Booty,0.01989665053462053,0
Young Thug,Chanel go get it,0.01990739090383959,0
Future,Honest,0.01991118555288719,0
Travis Scott,No Bystanders,0.019928544506621553,0
The Weeknd,Attention,0.0199643709974842,0
Future,Blow A Bag,0.01996655843247729,0
Marshmello,Alone,0.01998861760703825,0
Maroon 5,Girls Like You,0.020009104746989158,0
John Newman,Love Me Again,0.020013433294073103,0
Taylor Swift,Wonderland,0.020019167439546785,0
Imagine Dragons,Radioactive,0.02004312382708078,0
Lil Yachty,Get Dripped,0.020048735915608677,0
P!nk,What About Us,0.020064569301377514,0
Mariah Carey,I Dont,0.020064828251347075,0
Migos,Look At My Dab,0.02009945839208976,0
Drake,Nice For What,0.020115116398769135,0
The Weeknd,Earned It,0.020137366475769275,0
Young Thug,Digits,0.020183584144086945,0
Justin Bieber,What Do You Mean?,0.0201984659231031,0
August Alsina,No Love,0.020199809217440214,0
Sheppard,Geronimo,0.020212554633522263,0
XXXTENTACION,Changes,0.02024175887057222,0
Kendrick Lamar,Black Panther,0.020256582819721,0
21 Savage,Red Opps,0.020299499882158473,0
Shawn Mendes and Camila Cabello,I Know What You Did Last Summer,0.02036004667316327,0
Katy Perry,This Is How We Do,0.020373167540626253,0
Ariana Grande,Problem,0.020400711179594442,0
Robin Schulz,Sugar,0.02043729845196414,0
Childish Gambino,This Is America,0.020485175624036327,0
Lil Uzi Vert,For Real,0.020513641005113624,0
The Weeknd,Stargirl Interlude,0.020544999484147574,0
Selena Gomez and Marshmello,Wolves,0.020566663952240067,0
Jhene Aiko,The Worst,0.020568103557027564,0
Sheck Wes,Mo Bamba,0.020609007468515638,0
Lil Jon,Bend Ova,0.020619967767866912,0
Tori Kelly,Nobody Love,0.020623034281968156,0
Post Malone,Blame It On Me,0.020643235007347098,0
6ix9ine,Gotti,0.020666857524374343,0
Yo Gotti,Down In The DM,0.020668735475001716,0
Taylor Swift,Welcome To New York,0.020669752758215566,0
YG,Why You Always Hatin?,0.02067385281967985,0
Tyga,Dip,0.020676161564984367,0
Lady Gaga,Til It Happens To You,0.02072717173778924,0
Lil Pump,Gucci Gang,0.020736288435429365,0
twenty one pilots,Fairly Local,0.0207365624754295,0
Zayn,Like I Would,0.02074530811691971,0
Bobby Helms,Jingle Bell Rock,0.020753114833482657,0
Future,Fuck Up Some Commas,0.020781582620331644,0
Maroon 5,What Lovers Do,0.0208189657168636,0
Young Thug,Check,0.02085593420267742,0
DJ Snake and AlunaGeorge,You Know You Like It,0.020899685442877607,0
The Weeknd,Cant Feel My Face,0.020899824011942025,0
Sia,Alive,0.020914229178851922,0
Tory Lanez,Luv,0.020916315817548735,0
The Chainsmokers,Setting Fires,0.02092798441995652,0
Naughty Boy,Runnin Lose It All,0.020933806272404338,0
Cardi B,Drip,0.020997813256731553,0
Jacquees,BED,0.021004748301802247,0
21 Savage,Bank Account,0.021052318279926367,0
"6ix9ine, Fetty Wap and A Boogie Wit da Hoodie",KEKE,0.021060386086573117,0
YG,Handgun,0.021065353249782322,0
Queen and David Bowie,Under Pressure,0.02108944497457695,0
Ariana Grande,Breathin,0.021100033652692717,0
ScHoolboy Q,Man Of The Year,0.021108364008522916,0
Juice WRLD,Lean Wit Me,0.02111433341642428,0
Ella Mai,Trip,0.021129106187411713,0
Jennifer Lopez,Dinero,0.02115040028150595,0
DeJ Loaf,Back Up,0.02116125458231062,0
J Cole,Motiv8,0.021171441074282638,0
A Trak and Milo and Otis,Out The Speakers,0.02118508284656033,0
Tove Lo,Cool Girl,0.021198358749573702,0
The Weeknd,Secrets,0.021252614192934102,0
Plies,Rock,0.021256960294748314,0
Liam Payne,Bedroom Floor,0.021322341322410825,0
Juice WRLD,Wasted,0.021323991102068,0
DJ Snake,Let Me Love You,0.02133791820315617,0
Galantis,No Money,0.02134889456706046,0
Lana Del Rey,Love,0.02135459965287365,0
Bastille,Bad Blood,0.021356415662137807,0
Desiigner,Tiimmy Turner,0.021375533462064954,0
Gwen Stefani,Make Me Like You,0.021385723586226917,0
Nick Jonas,Chains,0.021435821474873922,0
Dennis Lloyd,Nevermind,0.021441911966448023,0
Sofi Tukker,Best Friend,0.02145495927940356,0
Kendrick Lamar,Feel,0.021457162136273553,0
Chris Brown,Pills And Automobiles,0.02146590666173116,0
